Composite_Key,Matchday,Date,Comp,Season,Round,Opponent,Venue,Result,GF,GA,GD,xG,xGA,xGD,xGD - GD,Vela_Minutes_Played,Did_Vela_Play,GF - xGF,GA - xGA
23-2022,23,8/6/22,MLS,2022,Regular Season,Real Salt Lake,Away,W,4,1,3,1.4,0.7,0.7,-2.3,64,1,2.6,0.3
24-2022,24,8/13/22,MLS,2022,Regular Season,Charlotte,Home,W,5,0,5,2.6,0.2,2.4,-2.6,74,1,2.4,-0.2
25-2022,25,8/16/22,MLS,2022,Regular Season,D.C. United,Home,W,1,0,1,2,0.6,1.4,0.4,73,1,-1,-0.6
26-2022,26,8/20/22,MLS,2022,Regular Season,SJ Earthquakes,Away,L,1,2,-1,1.3,0.9,0.4,1.4,26,1,-0.3,1.1
27-2022,27,8/26/22,MLS,2022,Regular Season,Austin,Away,L,1,4,-3,1.5,0.6,0.9,3.9,77,1,-0.5,3.4
28-2022,28,8/31/22,MLS,2022,Regular Season,Houston Dynamo,Away,L,1,2,-1,2.7,1.4,1.3,2.3,59,1,-1.7,0.6
29-2022,29,9/4/22,MLS,2022,Regular Season,Real Salt Lake,Home,W,2,0,2,3.1,0.3,2.8,0.8,32,1,-1.1,-0.3
30-2022,30,9/10/22,MLS,2022,Regular Season,FC Dallas,Away,L,1,2,-1,1.1,0.9,0.2,1.2,59,1,-0.1,1.1
31-2022,31,9/13/22,MLS,2022,Regular Season,Minnesota Utd,Away,D,1,1,0,1.1,1.6,-0.5,-0.5,90,1,-0.1,-0.6
32-2022,32,9/18/22,MLS,2022,Regular Season,Houston Dynamo,Home,W,3,1,2,3,0.9,2.1,0.1,63,1,0,0.1
33-2022,33,10/2/22,MLS,2022,Regular Season,Portland Timbers,Away,W,2,1,1,1,1.2,-0.2,-1.2,77,1,1,-0.2
34-2022,34,10/9/22,MLS,2022,Regular Season,Nashville SC,Home,L,0,1,-1,4.5,1.2,3.3,4.3,40,1,-4.5,-0.2
35-2022,35,10/20/22,MLS,2022,Conference Semifinals,LA Galaxy,Home,W,3,2,1,2.5,0.4,2.1,1.1,78,1,0.5,1.6
36-2022,36,10/30/22,MLS,2022,Conference Finals,Austin,Home,W,3,0,3,2.1,0.3,1.8,-1.2,77,1,0.9,-0.3
37-2022,37,11/5/22,MLS,2022,MLS Cup,Philadelphia Union,Home,D,3,3,0,1,1.6,-0.6,-0.6,97,1,2,1.4
1-2023,1,3/4/23,MLS,2023,Regular Season,Portland Timbers,Home,W,3,2,1,1.7,1.1,0.6,-0.4,66,1,1.3,0.9
2-2023,2,3/12/23,MLS,2023,Regular Season,NE Revolution,Home,W,4,0,4,2.9,0.4,2.5,-1.5,25,1,1.1,-0.4
3-2023,3,3/18/23,MLS,2023,Regular Season,Seattle Sounders,Away,D,0,0,0,1.2,1.3,-0.1,-0.1,66,1,-1.2,-1.3
4-2023,4,3/25/23,MLS,2023,Regular Season,FC Dallas,Home,W,2,1,1,2.3,0.5,1.8,0.8,90,1,-0.3,0.5
5-2023,5,4/1/23,MLS,2023,Regular Season,Colorado Rapids,Away,D,0,0,0,0.6,1,-0.4,-0.4,74,1,-0.6,-1
6-2023,6,4/8/23,MLS,2023,Regular Season,Austin,Home,W,3,0,3,1.4,0.4,1,-2,29,1,1.6,-0.4
7-2023,7,4/16/23,MLS,2023,Regular Season,LA Galaxy,Away,W,3,2,1,2.2,1.8,0.4,-0.6,71,1,0.8,0.2
8-2023,8,4/22/23,MLS,2023,Regular Season,Nashville SC,Away,D,1,1,0,1.7,1.1,0.6,0.6,20,1,-0.7,-0.1
9-2023,9,5/6/23,MLS,2023,Regular Season,SJ Earthquakes,Away,L,1,2,-1,1.2,2.3,-1.1,-0.1,75,1,-0.2,-0.3
10-2023,10,5/13/23,MLS,2023,Regular Season,Real Salt Lake,Away,W,3,0,3,2.4,1.4,1,-2,80,1,0.6,-1.4
11-2023,11,5/17/23,MLS,2023,Regular Season,Sporting KC,Home,D,1,1,0,1.2,0.4,0.8,0.8,67,1,-0.2,0.6
12-2023,12,5/20/23,MLS,2023,Regular Season,SJ Earthquakes,Home,W,2,1,1,1.7,0.7,1,0,27,1,0.3,0.3
13-2023,13,6/7/23,MLS,2023,Regular Season,Atlanta Utd,Home,D,0,0,0,2.3,0.8,1.5,1.5,31,1,-2.3,-0.8
